HuggingFaceID,Architecture,System,Backend,Version,Mode,Status,ErrMsg
Qwen/Qwen2.5-1.5B,Qwen2ForCausalLM,a100_sxm,sglang,0.5.8,agg,FAIL,"Traceback (most recent call last):\n  File ""src/aiconfigurator/sdk/pareto_analysis.py"", line 67, in agg_pareto\n    model = get_model(\n            ^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/models.py"", line 111, in get_model\n    model = LLAMAModel(\n            ^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/models.py"", line 482, in __init__\n    super().__init__(*args)\n  File ""src/aiconfigurator/sdk/models.py"", line 315, in __init__\n    assert self._num_heads % model_config.tp_size == 0, (\n           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\nAssertionError: num_heads 12 should be divisible by tp_size 8 \n\nThe above exception was the direct cause of the following exception:\n\nTraceback (most recent call last):\n  File ""tools/support_matrix/support_matrix.py"", line 135, in run_single_test\n    result = runner.run(task_config)\n             ^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 1291, in run\n    result = self.run_agg(task_config.config)\n             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 1113, in run_agg\n    result_df = pa.agg_pareto(\n                ^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/pareto_analysis.py"", line 142, in agg_pareto\n    raise RuntimeError(\nRuntimeError: No results found for any parallel configuration. Showing last exception: num_heads 12 should be divisible by tp_size 8 \n"
Qwen/Qwen2.5-1.5B,Qwen2ForCausalLM,a100_sxm,sglang,0.5.8,disagg,FAIL,"Traceback (most recent call last):\n  File ""src/aiconfigurator/sdk/inference_session.py"", line 486, in _get_summary_df\n    model = models.get_model(\n            ^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/models.py"", line 111, in get_model\n    model = LLAMAModel(\n            ^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/models.py"", line 482, in __init__\n    super().__init__(*args)\n  File ""src/aiconfigurator/sdk/models.py"", line 315, in __init__\n    assert self._num_heads % model_config.tp_size == 0, (\n           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\nAssertionError: num_heads 12 should be divisible by tp_size 8 \n\nThe above exception was the direct cause of the following exception:\n\nTraceback (most recent call last):\n  File ""tools/support_matrix/support_matrix.py"", line 135, in run_single_test\n    result = runner.run(task_config)\n             ^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 1293, in run\n    result = self.run_disagg(task_config.config)\n             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 1259, in run_disagg\n    result_df = pa.disagg_pareto(\n                ^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/pareto_analysis.py"", line 248, in disagg_pareto\n    summary = disagg_sess.find_best_disagg_result_under_constraints(\n              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/inference_session.py"", line 667, in find_best_disagg_result_under_constraints\n    prefill_summary_df = _get_summary_df(\n                         ^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/inference_session.py"", line 529, in _get_summary_df\n    raise RuntimeError(\nRuntimeError: No results found for any parallel configuration. Showing last exception: num_heads 12 should be divisible by tp_size 8 \n"
Qwen/Qwen2.5-1.5B,Qwen2ForCausalLM,a100_sxm,trtllm,1.0.0,agg,PASS,
Qwen/Qwen2.5-1.5B,Qwen2ForCausalLM,a100_sxm,trtllm,1.0.0,disagg,PASS,
Qwen/Qwen2.5-1.5B,Qwen2ForCausalLM,a100_sxm,vllm,0.12.0,agg,PASS,
Qwen/Qwen2.5-1.5B,Qwen2ForCausalLM,a100_sxm,vllm,0.12.0,disagg,PASS,
Qwen/Qwen2.5-1.5B,Qwen2ForCausalLM,b200_sxm,sglang,0.5.6.post2,agg,PASS,
Qwen/Qwen2.5-1.5B,Qwen2ForCausalLM,b200_sxm,sglang,0.5.6.post2,disagg,PASS,
Qwen/Qwen2.5-1.5B,Qwen2ForCausalLM,b200_sxm,trtllm,1.0.0rc6,agg,PASS,
Qwen/Qwen2.5-1.5B,Qwen2ForCausalLM,b200_sxm,trtllm,1.0.0rc6,disagg,PASS,
Qwen/Qwen2.5-1.5B,Qwen2ForCausalLM,b200_sxm,trtllm,1.2.0rc5,agg,PASS,
